Regional,Elemento,Rodovia,Levantamento,Km,Extensão (m),Dimensão (m),Tipo,Latitude-montante,Longitude-montante,Latitude-jusante,Longitude-jusante
CGR 01,Bueiro,SP 081,27/11/2024,"0,7000","11,00","0,40",Bueiro Simples Tubular de Concreto,"-22,8789700","-46,9560800","-22,8789200","-46,9562200"
CGR 01,Bueiro,SP 081,27/11/2024,"0,8800","11,00","0,60",Bueiro Simples Tubular de Concreto,"-22,8808700","-46,9551800","-22,8808000","-46,9553400"
CGR 01,Bueiro,SP 081,27/11/2024,"1,2100","27,50","0,60",Bueiro Simples Tubular de Concreto,"-22,8813400","-46,9519100","-22,8815500","-46,9518100"
CGR 01,Bueiro,SP 081,27/11/2024,"5,6000","15,00","0,40",Bueiro Simples Tubular de Concreto,"-22,8913600","-46,9168300","-22,8912800","-46,9170500"
CGR 01,Bueiro,SP 081,27/11/2024,"8,0000","11,00","0,80",Bueiro Simples Tubular de Concreto,"-22,8938800","-46,9013200","-22,8939100","-46,9014600"
CGR 01,Bueiro,SP 081,27/11/2024,"8,1000","11,00","0,80",Bueiro Simples Tubular de Concreto,"-22,8938800","-46,8973900","-22,8945100","-46,8974200"
CGR 01,Bueiro,SP 081,27/11/2024,"8,2000","11,00","0,60",Bueiro Simples Tubular de Concreto,"-22,8938800","-46,8973900","-22,8945100","-46,8974200"
CGR 01,Bueiro,SP 081,27/11/2024,"8,3000","11,00","0,60",Bueiro Simples Tubular de Concreto,"-22,8957450","-46,8963700","-22,8950700","-46,8963500"
CGR 01,Bueiro,SP 081,27/11/2024,"8,4000","11,00","0,60",Bueiro Simples Tubular de Concreto,"-22,8953700","-46,8961600","-22,8956500","-46,8960900"
CGR 01,Bueiro,SP 091,29/11/2024,"90,5300","10,00","1,00",Bueiro Simples Tubular de Concreto,"-22,9586000","-47,0171000","-22,9586000","-47,0171000"
CGR 01,Bueiro,SP 091,29/11/2024,"90,6700","15,00","1,00",Bueiro Simples Tubular de Concreto,"-22,9578000","-47,0195000","-22,9578000","-47,0194000"
CGR 01,Bueiro,SPA 110/330,29/11/2024,"0,5000","20,00","1,50",Bueiro Simples Tubular de Concreto,"-22,8145000","-47,1942000","-22,8146000","-47,1942000"
